name;mass;orbital_period
Kepler-31 d;6.8;87.6451
Kepler-32 b;4.1;5.90124
Kepler-32 c;0.5;8.7522
Kepler-338 b;0.0963;13.726976
Kepler-34 (AB) b;0.22;288.822
Kepler-35 (AB) b;0.1268;131.458
Kepler-36 b;0.01205;13.86825
Kepler-36 c;0.02243;16.21865
Kepler-37 b;0.01;13.36731
Kepler-38 (AB) b;0.38;105.595
Kepler-39 b;20.1;21.08721
Kepler-391 c;1.416;20.485435
Kepler-4 b;0.077;3.21346
Kepler-40 b;2.2;6.87349
Kepler-407 c;12.6;3000.0
Kepler-41 b;0.56;1.8555582
Kepler-411 b;0.08055;3.005156
Kepler-411 c;0.08306;7.834435
Kepler-411 d;0.04782;58.02035
Kepler-411 e;0.03398;31.509728
Kepler-412 b;0.941;1.7208604
Kepler-418 b;1.1;86.67856
Kepler-419 b;2.5;69.7546
Kepler-419 c;7.3;675.47
Kepler-42 b;0.009;1.2137672
Kepler-42 c;0.006;0.45328509
Kepler-42 d;0.003;1.865169
Kepler-422 b;0.43;7.8914483
Kepler-423 b;0.595;2.6843285
Kepler-424 b;1.03;3.3118644
Kepler-425 b;0.25;3.79701816
Kepler-426 b;0.34;3.21751883
Kepler-427 b;0.29;10.290994
Kepler-428 b;1.27;3.52563254
Kepler-43 b;3.23;3.0240949
Kepler-432 b;5.41;52.501129
Kepler-433 b;2.82;5.33408384
Kepler-434 b;2.86;12.8747099
Kepler-435 b;0.84;8.6001536
Kepler-44 b;1.0;3.2467293
Kepler-445 b;0.02;2.984151
Kepler-445 c;0.027;4.871229
Kepler-445 d;0.011;8.15275
Kepler-446 b;0.014;1.565409
Kepler-446 c;0.009;3.036179
Kepler-446 d;0.01;5.148921
Kepler-447 b;1.37;7.79430132
Kepler-448 c;22.0;2500.0
Kepler-45 b;0.505;2.455239
Kepler-453 (AB) b;0.03;240.503
Kepler-454 b;0.01905;10.57
Kepler-46 b;6.0;33.60134
Kepler-46 c;0.376;57.011
Kepler-462 b;0.16959;84.6866
Kepler-462 c;0.01888;207.62
Kepler-47 (AB) d;0.05984;187.35
Kepler-48 e;2.067;982.0
Kepler-49 b;0.98;7.2037945
Kepler-49 c;0.72;10.9129343
Kepler-492 b;39.9;11.72012266
Kepler-5 b;2.111;3.5484657
Kepler-50 b;0.1;7.81254
Kepler-50 c;0.11;9.37647
Kepler-51 b;0.007;45.154
Kepler-51 c;0.013;85.312
Kepler-51 d;0.024;130.194
Kepler-52 b;8.7;7.8773565
Kepler-52 c;10.41;16.3850021
Kepler-53 b;18.41;18.6489525
Kepler-53 c;15.74;38.5583038
Kepler-538 b;0.03335;81.73778
Kepler-539 b;0.97;125.63243
Kepler-539 c;2.4;1000.0
Kepler-54 b;0.92;8.0109434
Kepler-54 c;0.37;12.0717249
Kepler-55 b;1.49;27.9481449
Kepler-55 c;1.11;42.1516418
Kepler-56 b;0.07;10.5016
Kepler-56 c;0.57;21.40239
Kepler-57 b;18.86;5.7293196
Kepler-57 c;6.95;11.6092567
Kepler-58 b;1.39;10.2184954
Kepler-58 c;2.19;15.5741568
Kepler-59 b;2.05;11.8681707
Kepler-59 c;1.37;17.9801235
Kepler-595 b;0.05475;25.3029092
Kepler-595 c;0.01038;12.38602
Kepler-6 b;0.668;3.2346996
Kepler-60 b;0.01318;7.1334
Kepler-60 c;0.01211;8.9187
Kepler-60 d;0.01309;11.8981
Kepler-62 b;0.03;5.714932
Kepler-62 c;0.013;12.4417
Kepler-62 d;0.044;18.16406
Kepler-62 e;0.113;122.3874
Kepler-62 f;0.11;267.291
Kepler-63 b;0.378;9.4341505
Kepler-64 (AB) b;0.53;138.506
Kepler-65 e;0.82;258.8
Kepler-66 b;0.047;17.815815
Kepler-67 b;0.047;15.7259
Kepler-7 b;0.441;4.8854892
Kepler-74 b;0.63;7.340711
Kepler-75 b;10.1;8.8849116
Kepler-76 b;2.01;1.5449298
Kepler-77 b;0.43;3.57878087
Kepler-78 b;0.00619;0.35500744
Kepler-79 b;0.0343;13.4845
Kepler-79 c;0.019;27.4029
Kepler-79 d;0.019;52.0902
Kepler-79 e;0.013;81.0659
Kepler-8 b;0.59;3.5224991
Kepler-80 b;0.0218;7.05246
Kepler-80 c;0.02121;9.52355
Kepler-80 d;0.02124;3.07222
Kepler-80 e;0.01299;4.64489
Kepler-82 b;0.03823;26.44
Kepler-82 c;0.04373;51.54
Kepler-82 f;0.06576;75.732
Kepler-86 b;0.34235;282.5254
Kepler-87 b;1.02;114.73635
Kepler-87 c;0.02;191.2318
Kepler-88 d;3.05;1403.0
Kepler-89 b;0.033;3.743208
Kepler-89 c;0.049;10.423648
Kepler-89 d;0.334;22.342989
Kepler-89 e;0.11;54.32031
Kepler-9 b;0.13655;19.23891
Kepler-9 c;0.09408;38.9853
Kepler-9 d;0.016518264481;1.592851
Kepler-91 b;0.81;6.24658
Kepler-93 b;0.0143;4.72674
Kepler-94 c;9.836;820.3
L 168-9 b;0.0145;1.4015
L 98-59 b;0.0013;2.2531136
L 98-59 c;0.00698;3.6906777
L 98-59 d;0.0061;7.4507245
LHS 1140 b;0.02196;24.736
LHS 1140 c;0.00569;3.777931
LHS 1478 b;0.00733;1.9495378
LHS 1678 b;0.00019;0.8602322
LHS 1678 c;0.00123;3.694237
LHS 1815 b;0.0132;3.81433
LHS 2397a B;64.0;5194.0
LKCA 15 b;6.0;40000.0
LP 714-47 b;0.0969;4.052037
LTT 1445A b;0.00903;5.3587657
LTT 1445A c;0.00485;3.1239035
LTT 3780 b;0.00982;0.7683881
LTT 3780 c;0.0267;12.252048
LTT 9779 b;0.09225;0.792052
Lupus-TR-3 b;0.81;3.91405
MASCARA-1 b;3.7;2.14878
MASCARA-2 b/KELT-20 b;3.518;3.4741085
MASCARA-3 b;5.18;5.5514926
MOA-2009-BLG-266L b;0.0327;2780.0
MOA-2009-BLG-387L b;2.6;1970.0
NGTS-1 b;0.812;2.647298
NGTS-10 b;2.162;0.7668944
NGTS-11 b;0.37;35.455285
NGTS-12 b;0.208;7.532806
NGTS-13 b;4.84;4.119027
NGTS-14A b;0.092;3.5357173
NGTS-15 b;0.751;3.27623
NGTS-16 b;0.667;4.84532
NGTS-17 b;0.764;3.24253
NGTS-18 b;0.409;3.05125
NGTS-2 b;0.67;4.5111204
NGTS-3A b;2.38;1.6753728
NGTS-4 b;0.0648;1.3373508
NGTS-5 b;0.229;3.3569866
NGTS-6 b;1.33;0.882058
NGTS-7A b;62.0;0.67599
NGTS-8 b;0.93;2.4997
NGTS-9 b;2.9;4.43527
NLTT 41135 b;33.7;2.889475
NLTT 5306 b;56.0;1.698
NN Ser (AB) c;6.91;5660.0
NN Ser (AB) d;2.28;2830.0
OGLE-2005-071L b;3.5;3600.0
OGLE-2006-109L b;0.727;1790.0
OGLE-2006-109L c;0.271;4931.0
OGLE-2016-BLG-1190L b;13.38;1223.6
OGLE-2018-BLG-0740L b;4.5;3100.0
OGLE-TR-10 b;0.68;3.10129
OGLE-TR-111 b;0.54;4.01451
OGLE-TR-113 b;1.24;1.4324772
OGLE-TR-132 b;1.17;1.689868
OGLE-TR-182 b;1.06;3.9791
OGLE-TR-211 b;0.75;3.67724
OGLE-TR-56 b;1.3;1.211909
OGLE2-TR-L9 b;4.34;2.4855335
Oph 98 b;7.8;8035500.0
PDS 70 b;7.0;45108.0
PDS 70 c;4.4;69945.0
POTS-1 b;2.31;3.1606296
PPL 15 b;60.0;5.825
PSR 1257 12 b;7,00E-05;25.262
PSR 1257 12 c;0.013;66.5419
PSR 1257 12 d;0.012;98.2114
PSR B1620-26 (AB) b;2.5;36525.0
PSR J1446-4701 b;23.0;0.27766607732
PSR J1502-6752 b;26.0;2.48445723
PSR J1807-2459 A b;9.4;0.07
PSR J2051-0827 b;28.3;0.099110266
PSR J2055+3829 b;39.0;0.12959037293
PSR J2241-5236 b;12.0;0.1456722395
Proxima Centauri c;0.03;1928.0
Qatar-1 b;1.294;1.42002504
Qatar-10 b;0.736;1.645321
Qatar-2 b;2.494;1.33711647
Qatar-3 b;4.31;2.5079204
Qatar-4 b;5.85;1.8053949
Qatar-5 b;4.32;2.8792319
Qatar-6 A b;0.668;3.506189
Qatar-7 b;1.88;2.032046
Qatar-8 b;0.371;3.71495
Qatar-9 b;1.19;1.540731
RIK 72 b;56.1;97.84
SDSS 1604+1000 b;50.0;0.1433707
SDSS J080531+481233 B;66.28;740.43
SDSS J105213.51+442255.7 B;39.0;3144.0
SSSJ0522-3505 b;42.0;0.06219343
TIC 172900988 (AB) b;2.84;197.0
TIC 237913194 b;1.942;15.168865
TOI-1062 b;0.032;4.11412
TOI-1130 c;0.974;8.350381
TOI-1201 b;0.01976;2.4919863
TOI-122 b;0.0277;5.07803
TOI-1231 b;0.0485;24.245586
TOI-1235 b;0.0186;3.444717
TOI-125 b;0.0299;4.65382
TOI-125 c;0.02086;9.15059
TOI-125 d;0.0428;19.98
TOI-1259A b;0.441;3.47798
TOI-1260 b;0.02709;3.12748
TOI-1260 c;0.03725;7.49325
TOI-1266 b;0.05;10.894843
TOI-1266 c;0.0201;18.80151
TOI-1278 b;18.5;14.47567
TOI-1298 b;0.356;4.537164
TOI-132 b;0.07183;2.1097008
TOI-1333 b;2.37;4.720219
TOI-1338 b;30.2;95.141
TOI-1406 b;46.0;10.57415
TOI-1431 b/MASCARA-5 b;3.14;2.65022
TOI-1444 b;0.01218;0.4702694
TOI-1478 b;0.847;10.180249
TOI-150 b;2.51;5.857487
TOI-1518 b;2.3;1.902603
TOI-157 b;1.18;2.0845435
TOI-1601 b;0.99;5.331751
TOI-163 b;1.22;4.231306
TOI-1634 b;0.01545;0.989343
TOI-1685 b;0.01189;0.6691403
TOI-169 b;0.791;2.2554477
TOI-172 b;5.41;9.47721
TOI-1728 b;0.08426;3.49151
TOI-178 b;0.00472;1.914558
TOI-178 c;0.01501;3.23845
TOI-178 d;0.00947;6.5577
TOI-178 e;0.01214;9.961881
TOI-178 f;0.02429;15.231915
TOI-178 g;0.0124;20.7095
TOI-1789 b;0.7;3.208666
TOI-1899 b;0.66;29.02
TOI-201 b;0.42;52.97818
TOI-216 b;0.059;17.0968
TOI-216 c;0.56;34.5516
TOI-2184 b;0.65;6.90683
TOI-220 b;0.0428;10.695264
TOI-2202 b;0.978;11.9101
TOI-2202 c;0.369;24.6744
TOI-2257 b;0.0179;35.189346
TOI-2285 b;0.0614;27.26955
TOI-237 b;0.009;5.436098
TOI-2406 b;0.0286;3.0766896
TOI-251 b;1.0;4.93777
TOI-257 b;0.134;18.38827
TOI-263 b;61.6;0.5568143
TOI-269 b;0.0277;3.6977104
TOI-270 b;0.006;3.36008
TOI-270 c;0.0208;5.660172
TOI-270 d;0.017;11.38014
TOI-3362 b;5.029;18.09547
TOI-402 b;0.0227;4.75642
TOI-402 c;0.02766;17.1784
TOI-4138 b;0.67;3.660028
TOI-421 b;0.05107;16.06815
TOI-421 c;0.02218;5.19676
TOI-431 b;0.00966;0.490047
TOI-431 c;2.84;4.8494
TOI-431 d;0.0311;12.46103
TOI-481 b;1.53;10.33111
TOI-503 b;53.6;3.6775
TOI-530 b;0.4;6.387597
TOI-532 b;0.1935;2.32666508
TOI-558 b;3.61;14.574071
TOI-559 b;6.01;6.9839095
TOI-561 c;0.017;10.778853
TOI-561 d;0.0376;25.62
TOI-561 e;0.05;77.23
TOI-564 b;1.463;1.651144
TOI-628 b;6.33;3.4095675
TOI-640 b;0.88;5.0037775
TOI-674 b;0.0739;1.977143
TOI-677 b;1.236;11.2366
TOI-700 b;0.00406;9.97701
TOI-700 c;0.0249;16.051998
TOI-700 d;0.00711;37.426
TOI-712 b;0.0176;9.531361
TOI-712 c;0.0274;51.69906
TOI-712 d;0.0236;84.8396
TOI-763 b;0.0308;5.6057
TOI-763 c;0.02932;12.2737
TOI-776 b;0.01466;8.24664
TOI-776 c;0.0192;15.6653
TOI-811 b;55.3;25.16551
TOI-824 b;0.058104;1.392978
TOI-849 b;0.12299;0.76552414
TOI-852 b;53.7;4.94561
TOI-892 b;0.95;10.62656
TOI-905 b;0.667;3.739494
TOI-942 b;2.599;4.32419
TOI-942 c;2.501;10.15643
TOI-954 b;0.174;3.6849729
TRAPPIST-1 b;0.0027;1.51087081
TRAPPIST-1 c;0.00434;2.4218233
TRAPPIST-1 d;0.0013;4.04961
TRAPPIST-1 e;0.002;6.099615
TRAPPIST-1 f;0.0021;9.20669
TRAPPIST-1 g;0.00422;12.35294
TRAPPIST-1 h;0.001041;20.0
TVLM 513-46546 b;0.38;220.0
TrES-1 b;0.761;3.0300722
TrES-2 A b;1.253;2.4706133738
TrES-3 b;1.91;1.30618608
TrES-4 b;0.917;3.5539268
TrES-5 b;1.778;1.4822446
UZ For (AB) b;6.3;5800.0
UZ For (AB) c;7.7;1900.0
V 1298 Tau b;2.2;24.1382
V391 Peg b;3.2;1170.0
WASP-1 b;0.947;2.5199448
WASP-10 b;3.16;3.0927616
WASP-100 b;2.03;2.849375
WASP-101 b;0.5;3.585722
WASP-102 b;0.624;2.709813
WASP-103 b;1.49;0.925542
WASP-104 b;1.272;1.7554137
WASP-105 b;1.8;7.87288
WASP-106 b;1.925;9.289715
WASP-107 b;0.12;5.72149
WASP-108 b;1.167;2.6755463
WASP-109 b;0.91;3.3190233
WASP-110 b;0.515;3.7783977
WASP-111 b;1.85;2.310965
WASP-112 b;0.88;3.0353992
WASP-113 b;0.475;4.54216874538
WASP-114 b;1.769;1.5487743
WASP-117 b;0.2755;10.02165
WASP-118 b;0.514;4.0460435
WASP-119 b;1.23;2.49979
WASP-12 b;1.47;1.0914203
WASP-120 b;5.06;3.6112706
WASP-121 b;1.184;1.2749255
WASP-122 b;1.401;1.7100567
WASP-123 b;0.92;2.977641
WASP-124 b;0.6;3.37265
WASP-126 b;0.2841;3.2888
WASP-126 c;0.202;7.63
WASP-127 b;0.18;4.178062
WASP-128 b;37.19;2.20883665
WASP-129 b;1.0;5.748145
WASP-13 b;0.485;4.353011
WASP-130 b;1.23;11.55098
WASP-131 b;0.27;5.322023
WASP-132 b;0.41;7.133521
WASP-133 b;1.16;2.176423
WASP-134 b;1.412;10.1467583
WASP-135 b;1.9;1.4013794
WASP-136 b;1.51;5.215357
WASP-137 b;0.681;3.9080284
WASP-138 b;1.22;3.634433
WASP-139 b;0.117;5.924262
WASP-14 b;7.341;2.2437661
WASP-140 b;2.44;2.2359835
WASP-141 b;2.69;3.310651
WASP-142 b;0.84;2.052868
WASP-143 b;0.725;3.778873
WASP-144 b;0.44;2.2783152
WASP-146 b;1.11;3.396944
WASP-147 b;0.275;4.60273
WASP-148 b;0.29;8.80381
WASP-15 b;0.542;3.7520656
WASP-150 b;8.46;5.644207
WASP-151 b;0.31;4.533471
WASP-153 b;0.39;3.332609
WASP-156 b;0.1303;3.8361603
WASP-157 b;0.576;3.951623
WASP-159 b;0.55;3.840401
WASP-16 b;0.855;3.1186009
WASP-160 B b;0.281;3.768495
WASP-161 b;2.49;5.4060425
WASP-162 b;5.2;9.62468
WASP-163 b;1.87;1.6096884
WASP-164 b;2.13;1.7771255
WASP-165 b;0.658;3.465509
WASP-166 b;0.102;5.443526
WASP-167 b;8.0;2.0219591
WASP-168 b;0.42;4.153658
WASP-169 b;0.561;5.6114118
WASP-17 b;0.486;3.735438
WASP-170 b;1.6;2.34478022
WASP-171 b;1.084;3.8186244
WASP-172 b;0.47;5.477433
WASP-174 b;0.33;4.2337005
WASP-175 b;0.99;3.0652907
WASP-176 b;0.855;3.899052
WASP-177 b;0.508;3.071722
WASP-178 b;1.41;3.3448285
WASP-18 b;10.4296;0.9414518
WASP-18 c;0.1737;2.1558
WASP-180 A b;0.8;3.409265
WASP-181 b;0.299;4.5195064
WASP-182 b;0.148;3.3769848
WASP-183 b;0.502;4.1117771
WASP-184 b;0.57;5.1817
WASP-185 b;0.98;9.38755
WASP-186 b;4.22;5.026799
WASP-187 b;0.8;5.147878
WASP-189 b;1.99;2.724033
WASP-19 b;1.139;0.78884
WASP-190 b;1.0;5.367753
WASP-192 b;2.3;2.8786765
WASP-2 A b;0.847;2.15222144
WASP-20 A b;0.313;4.8996285
WASP-21 b;0.3;4.3225126
WASP-22 b;0.617;3.5327313
WASP-23 b;0.884;2.9444256
WASP-24 b;1.071;2.3412127
WASP-25 b;0.58;3.76483
WASP-26 b;1.028;2.7566004
WASP-28 b;0.907;3.40883
WASP-29 b;0.243;3.92271218
WASP-3 b;2.06;1.8468372
WASP-31 b;0.478;3.405909
WASP-32 b;3.6;2.71865
WASP-33 b;2.8;1.21986967
WASP-34 b;0.59;4.3176782
WASP-35 b;0.72;3.161575
WASP-36 b;2.279;1.5373653
WASP-37 b;1.8;3.577471
WASP-38 b;2.712;6.871815
WASP-39 b;0.28;4.055259
WASP-4 b;1.1974;1.338231602
WASP-41 b;0.94;3.052404
WASP-42 b;0.5;4.9816872
WASP-43 b;2.052;0.81347753
WASP-44 b;0.889;2.4238039
WASP-45 b;1.007;3.1260876
WASP-46 b;2.101;1.43037
WASP-47 b;1.14243;4.1591289
WASP-47 c;1.31;596.0
WASP-47 d;0.04122;9.03077
WASP-47 e;0.02149;0.789592
WASP-48 b;0.98;2.143634
WASP-49 A b;0.378;2.7817387
WASP-5 b;1.637;1.6284246
WASP-50 b;1.437;1.9550959
WASP-52 b;0.46;1.7497798
WASP-53 b;2.132;3.3098443
WASP-55 b;0.61;4.46563
WASP-58 b;0.89;5.01718
WASP-6 b;0.503;3.361006
WASP-61 b;2.06;3.8559
WASP-62 b;0.57;4.411953
WASP-63 b;0.38;4.37809
WASP-65 b;1.55;2.3114243
WASP-66 b;2.32;4.086052
WASP-67 b;0.42;4.61442
WASP-68 b;0.95;5.084298
WASP-69 b;0.26;3.8681382
WASP-7 b;0.96;4.9546416
WASP-70 A b;0.59;3.7130203
WASP-71 b;2.258;2.9036747
WASP-72 b;1.461;2.2167421
WASP-73 b;1.88;4.08722
WASP-74 b;0.826;2.13775138
WASP-75 b;1.07;2.484193
WASP-76 b;0.92;1.809886
WASP-77 A b;1.76;1.3600309
WASP-78 b;0.89;2.17517656
WASP-79 b;0.9;3.6623817
WASP-8 b;2.244;8.158715
WASP-80 b;0.554;3.0678504
WASP-81 b;0.729;2.7164762
WASP-82 b;1.24;2.705782
WASP-83 b;0.3;4.071252
WASP-84 b;0.694;8.5234865
WASP-85 A b;1.265;2.6556777
WASP-87 A b;2.21;1.682795
WASP-88 b;0.56;4.954
WASP-89 b;5.9;3.3564227
WASP-90 b;0.63;3.916243
WASP-91 b;1.34;2.798581
WASP-92 b;0.805;2.1746742
WASP-93 b;1.47;2.7325321
WASP-94 A b;0.452;3.9501907
WASP-95 b;1.206;2.1846656
WASP-96 b;0.48;3.4252602
WASP-97 b;1.32;2.07276
WASP-98 b;0.83;2.96264
WASP-99 b;2.78;5.75251
WD 0137-349 b;56.0;0.07943002
WD 1032+011 b;70.0;0.091558961
WD 1145+017 b;2.1e-06;0.1875
WISE 1217+16 A b;22.0;47400.0
WISE 1711+3500 b;18.0;125000.0
WISE J0458+6434 A;57.0;15500.0
WISE J0458+6434 B;14.0;15500.0
WISE J0720-0846;62.0;1388.0
WTS-1 b;4.01;3.352059
WTS-2 b;1.12;1.0187074
Wendelstein-1 b;0.59;2.663416
Wendelstein-2 b;0.73;1.7522239
XO-1 b;0.9;3.9415128
XO-2N b;0.62;2.615838
XO-3 b;11.79;3.1915239
XO-4 b;1.616;4.12473
XO-5 b;1.077;4.1877537
XO-6 b;1.9;3.7650007
XO-7 b;0.709;2.8641424
XTE J1751-305 b;27.0;0.02945997
ZTF J0038+2030 b;59.3;0.4319208
beta Pic b;11.9;7707.0
beta Pic c;8.89;1227.0
eps Eridani b;0.65;2671.0
eps Ind A b;3.25;16509.0
gamma 1 Leo b;63.88;428.5
gamma Cephei b;11.09;903.3
kappa And b;13.0;215000.0
pi Men b;13.01;2089.11
pi Men c;0.01517;6.26784
tau Boo A b;5.84;3.31249
ups And b;0.62;4.61711
ups And c;9.1;240.937
ups And d;23.58;1281.439
